"","TLEVISA","WALMEX","SANMEX","PINFRA","PENOLES","ICA","OHLMEX","MEXCHEM","LIVEPOL","LALA","LAB","KOFL","KIMBER","IENOVA","ICH","GRUMA","GMEXICO","GFREGIO","GFNORTE","GFINBUR","GENTERA","GCARSO","FEMSA","GAP","CEMEX","ELEKTRA","BIMBO","ASUR","AMX","ALSEA","AC","ALFA"
"19",62.46,39.13,39.12,108,490.76,36.83,34.69,60.04,160.38,28.79,28.79,218.48,42.88,43.32,105.91,53.71,41.94,76.68,95.29,36.29,22.18,69.49,149.37,65.12,12.41,491.31,40.59,165.95,11.81,36.67,101.07,30.41
"20",63.3,38.98,38.34,105.57,491.88,36.8,34.8,60.96,161.9,29,29,218.64,41.63,43.1,103.31,53.74,42.05,73.41,95.54,35.26,22.19,69.48,150.53,65.1,12.33,486.83,41.53,154.2,12.07,36.9,101.29,29.78
"21",63.8,38.75,38.2,106.94,485.93,36.19,36.33,62.04,161.08,28.91,28.91,219.7,41.78,42.53,103.17,54.8,41.93,75.08,96.25,35.41,22.27,69,150.91,65.35,12.68,489.5,41.43,152.7,12.23,37,101.97,29.44
"22",62.96,37.97,37.92,105.71,491.08,34.56,36.12,61.07,158.85,28.72,28.72,204.1,41.41,41.41,102.16,54.9,41.73,70.49,92.89,33.82,21.22,68.39,141.76,64.22,12.68,501.7,40.71,149.25,12.3,37.77,99.71,28.48
"23",63.65,38.94,39.91,110.17,517.8,35.41,38.66,61.93,156.1,27.68,27.68,196.93,41.05,40.18,103.97,61.08,43.19,69.49,92.2,35.65,21.46,71.91,139.67,62.68,12.75,510.29,41.63,145.18,12.19,37.6,99.97,28.82
"24",61.74,38.29,37.44,107.65,503.77,33.87,38.89,61.49,156.34,25.76,25.76,197.35,41.2,39.82,99.73,63.64,42.52,69.42,90.5,35.52,20.33,71.06,138.56,62.99,13,514.5,40.16,145.11,11.95,38.25,96.56,28.1
"25",61.73,37.85,37.61,107.9,501.55,32.59,37.98,61.67,158.64,25.24,25.24,196.24,41.38,41.82,100,62.35,43.04,68.69,89.93,36.72,20.82,71.86,138,64.59,12.66,517.17,41,146.81,12.02,38.11,97.72,28.31
"26",61.65,38.64,39.27,108.25,506.97,33.57,37.66,61.89,153.55,26.26,26.26,196.13,41.33,41.4,97.85,60.65,43.46,66.99,91.56,35.58,20.22,69.31,138.09,65.4,12.66,523.28,39.51,150.69,12.41,38,100.14,28.2
"27",61.24,38.33,39.31,109.17,488.97,34.18,37.98,61.29,155.25,27.13,27.13,199.24,40.69,42.06,94.47,59.26,42.74,67.5,90.87,34.56,20.48,71.27,140.05,65.71,12.81,524.75,39.35,146.76,12.29,38,100.93,28.24
"28",61.43,38.82,38.76,109.65,490.5,34.5,38.29,60.87,159.05,27.47,27.47,201.73,41.2,43.81,94.79,59.81,43.7,67.61,90.53,34.53,20,72.9,142.19,64.41,13.31,534.94,39.19,143.62,12.58,37.96,102.01,28.51
"29",61.51,37.94,39.01,109.99,486.97,34,39.37,60.46,158.4,27.35,27.35,195.36,41.1,44.81,94.43,60.96,42.9,69.71,89.82,33.78,19.86,71.94,140,64.94,13.4,539.13,38.3,143.05,12.47,37.41,100.26,28.5
"30",62.27,36.75,41.08,109.27,492.47,33.1,38.87,61.35,158.73,27.16,27.16,197.26,40.52,46.27,95.73,60.5,43.7,69.83,93.88,34.69,19.57,73.53,142.11,64.71,13.38,536.52,39.44,144.26,12.4,36,102.08,29.11
"31",63.99,36.04,42.06,113.9,482.2,33.31,39.67,60.95,157.4,26.94,26.94,193.72,39.95,48,96.41,59.74,43.88,69.87,91.47,34.05,19.37,70.84,139.26,65.04,13.13,533.25,38.85,148.1,12.39,36.49,100.48,29.52
"32",63.71,35.85,42.06,114.52,485.58,33.22,39.75,61.1,153.28,26.76,26.76,193.27,40.16,49,95.75,62.79,42.46,70.35,91.05,33.99,19.01,70.94,137.92,64.03,12.91,543.11,38.86,141.12,12.14,36.58,101.35,29.11
